Policy ID,Purpose of the Security Policy,Scope of the Security Policy,Policy,Procedure,Roles and Responsibilities,Risk and Sanction,Incident Response,Creation Date,Last Updated,Status
POL-042,Asset protection,All business units,Incident reporting protocol,Apply updates weekly,Management for risk assessments,Damage control for delays,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-043,Asset protection,All systems and data,Password complexity rules,Apply updates weekly,IT Security Team for access control,Unmitigated risks,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-044,Risk assessment framework,All business units,Access control implementation,Document access requests,Management for risk assessments,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-045,Acceptable resource use,All systems and data,Password complexity rules,Minimum 12-character passwords,Response Team for incidents,Access revocation for violations,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-046,Risk assessment framework,All employees and contractors,Regular updates and patches,Apply updates weekly,Management for risk assessments,Unmitigated risks,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-047,Asset protection,All business units,Incident reporting protocol,Minimum 12-character passwords,Response Team for incidents,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-048,Define information boundaries,All information incidents,Access control implementation,Apply updates weekly,IT Security Team for access control,Access revocation for violations,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-049,Asset protection,All business units,Regular updates and patches,Report incidents in 24 hours,Management for risk assessments,Damage control for delays,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-050,Asset protection,All business units,Quarterly risk assessments,Report incidents in 24 hours,Response Team for incidents,Security breach penalties,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-051,Define information boundaries,All employees and contractors,Regular updates and patches,Document risk findings quarterly,Admins for updates,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-052,Acceptable resource use,All information incidents,Quarterly risk assessments,Document risk findings quarterly,Management for risk assessments,Unmitigated risks,Document all incidents,2024-09-24,2024-09-24,Active
POL-053,Risk assessment framework,All employees and contractors,Incident reporting protocol,Report incidents in 24 hours,Management for risk assessments,Damage control for delays,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-054,Incident communication,All network devices,Access control implementation,Minimum 12-character passwords,Response Team for incidents,Disciplinary actions,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-055,Acceptable resource use,All network devices,Incident reporting protocol,Document access requests,Response Team for incidents,Security breach penalties,Notify affected parties,2024-09-24,2024-09-24,Active
POL-056,Define information boundaries,All employees and contractors,Regular updates and patches,Document risk findings quarterly,Admins for updates,Unmitigated risks,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-057,Define information boundaries,All employees and contractors,Regular updates and patches,Document access requests,IT Security Team for access control,Disciplinary actions,Notify affected parties,2024-09-24,2024-09-24,Active
POL-058,Acceptable resource use,All systems and data,Password complexity rules,Document risk findings quarterly,Employees for password compliance,Damage control for delays,Notify affected parties,2024-09-24,2024-09-24,Active
POL-059,Define information boundaries,All systems and data,Password complexity rules,Report incidents in 24 hours,Employees for password compliance,Disciplinary actions,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-060,Define information boundaries,All business units,Regular updates and patches,Document risk findings quarterly,Management for risk assessments,Disciplinary actions,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-061,Acceptable resource use,All systems and data,Incident reporting protocol,Document risk findings quarterly,Admins for updates,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-062,Risk assessment framework,All information incidents,Regular updates and patches,Minimum 12-character passwords,Response Team for incidents,Security breach penalties,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-063,Define information boundaries,All employees and contractors,Password complexity rules,Apply updates weekly,Employees for password compliance,Security breach penalties,Notify affected parties,2024-09-24,2024-09-24,Active
POL-064,Define information boundaries,All information incidents,Regular updates and patches,Apply updates weekly,Management for risk assessments,Disciplinary actions,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-065,Acceptable resource use,All systems and data,Access control implementation,Apply updates weekly,Admins for updates,Damage control for delays,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-066,Acceptable resource use,All network devices,Quarterly risk assessments,Document risk findings quarterly,Employees for password compliance,Unmitigated risks,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-067,Incident communication,All network devices,Quarterly risk assessments,Minimum 12-character passwords,Admins for updates,Security breach penalties,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-068,Define information boundaries,All systems and data,Quarterly risk assessments,Report incidents in 24 hours,Management for risk assessments,Unmitigated risks,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-069,Risk assessment framework,All systems and data,Quarterly risk assessments,Apply updates weekly,Admins for updates,Damage control for delays,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-070,Asset protection,All information incidents,Quarterly risk assessments,Document access requests,Management for risk assessments,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-071,Risk assessment framework,All employees and contractors,Quarterly risk assessments,Document risk findings quarterly,Management for risk assessments,Unmitigated risks,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-072,Incident communication,All employees and contractors,Access control implementation,Minimum 12-character passwords,Employees for password compliance,Security breach penalties,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-073,Asset protection,All business units,Incident reporting protocol,Document access requests,Employees for password compliance,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-074,Asset protection,All employees and contractors,Regular updates and patches,Report incidents in 24 hours,Response Team for incidents,Damage control for delays,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-075,Define information boundaries,All systems and data,Access control implementation,Apply updates weekly,Admins for updates,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-076,Define information boundaries,All information incidents,Access control implementation,Apply updates weekly,Admins for updates,Unmitigated risks,Document all incidents,2024-09-24,2024-09-24,Active
POL-077,Define information boundaries,All systems and data,Access control implementation,Report incidents in 24 hours,Management for risk assessments,Unmitigated risks,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-078,Risk assessment framework,All business units,Quarterly risk assessments,Minimum 12-character passwords,Employees for password compliance,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-079,Risk assessment framework,All network devices,Password complexity rules,Document access requests,IT Security Team for access control,Damage control for delays,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-080,Asset protection,All business units,Password complexity rules,Apply updates weekly,Management for risk assessments,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-081,Acceptable resource use,All business units,Access control implementation,Document risk findings quarterly,Employees for password compliance,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-082,Define information boundaries,All systems and data,Incident reporting protocol,Minimum 12-character passwords,Response Team for incidents,Damage control for delays,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-083,Acceptable resource use,All systems and data,Quarterly risk assessments,Minimum 12-character passwords,Admins for updates,Unmitigated risks,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-084,Incident communication,All systems and data,Access control implementation,Report incidents in 24 hours,Admins for updates,Access revocation for violations,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-085,Acceptable resource use,All business units,Regular updates and patches,Document risk findings quarterly,Employees for password compliance,Unmitigated risks,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-086,Asset protection,All information incidents,Regular updates and patches,Document access requests,Response Team for incidents,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-087,Asset protection,All systems and data,Quarterly risk assessments,Document risk findings quarterly,Admins for updates,Security breach penalties,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-088,Acceptable resource use,All business units,Access control implementation,Document access requests,Management for risk assessments,Access revocation for violations,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-089,Incident communication,All network devices,Quarterly risk assessments,Minimum 12-character passwords,IT Security Team for access control,Access revocation for violations,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-090,Risk assessment framework,All employees and contractors,Access control implementation,Report incidents in 24 hours,IT Security Team for access control,Security breach penalties,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-091,Incident communication,All network devices,Access control implementation,Apply updates weekly,IT Security Team for access control,Access revocation for violations,Notify affected parties,2024-09-24,2024-09-24,Active
POL-092,Risk assessment framework,All information incidents,Password complexity rules,Document access requests,Admins for updates,Security breach penalties,Document all incidents,2024-09-24,2024-09-24,Active
POL-093,Incident communication,All network devices,Incident reporting protocol,Report incidents in 24 hours,IT Security Team for access control,Security breach penalties,Document all incidents,2024-09-24,2024-09-24,Active
POL-094,Risk assessment framework,All systems and data,Password complexity rules,Minimum 12-character passwords,Employees for password compliance,Damage control for delays,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-095,Risk assessment framework,All business units,Quarterly risk assessments,Apply updates weekly,Response Team for incidents,Unmitigated risks,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-096,Incident communication,All business units,Access control implementation,Document access requests,IT Security Team for access control,Unmitigated risks,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-097,Incident communication,All network devices,Regular updates and patches,Document risk findings quarterly,Employees for password compliance,Disciplinary actions,Notify affected parties,2024-09-24,2024-09-24,Active
POL-098,Asset protection,All information incidents,Quarterly risk assessments,Minimum 12-character passwords,Management for risk assessments,Unmitigated risks,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-099,Incident communication,All employees and contractors,Password complexity rules,Minimum 12-character passwords,Admins for updates,Damage control for delays,Notify affected parties,2024-09-24,2024-09-24,Active
POL-100,Acceptable resource use,All information incidents,Password complexity rules,Minimum 12-character passwords,Employees for password compliance,Security breach penalties,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-101,Incident communication,All information incidents,Access control implementation,Report incidents in 24 hours,Response Team for incidents,Security breach penalties,Notify affected parties,2024-09-24,2024-09-24,Active
POL-102,Define information boundaries,All systems and data,Password complexity rules,Document risk findings quarterly,IT Security Team for access control,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-103,Asset protection,All systems and data,Regular updates and patches,Document access requests,Admins for updates,Damage control for delays,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-104,Asset protection,All information incidents,Incident reporting protocol,Document access requests,Employees for password compliance,Security breach penalties,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-105,Acceptable resource use,All systems and data,Regular updates and patches,Apply updates weekly,IT Security Team for access control,Disciplinary actions,Document all incidents,2024-09-24,2024-09-24,Active
POL-106,Incident communication,All systems and data,Password complexity rules,Apply updates weekly,Response Team for incidents,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-107,Acceptable resource use,All employees and contractors,Incident reporting protocol,Minimum 12-character passwords,Management for risk assessments,Unmitigated risks,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-108,Incident communication,All employees and contractors,Access control implementation,Apply updates weekly,Management for risk assessments,Access revocation for violations,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-109,Incident communication,All employees and contractors,Incident reporting protocol,Document risk findings quarterly,Employees for password compliance,Access revocation for violations,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-110,Acceptable resource use,All business units,Regular updates and patches,Document risk findings quarterly,Admins for updates,Access revocation for violations,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-111,Asset protection,All business units,Password complexity rules,Document access requests,Response Team for incidents,Damage control for delays,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-112,Incident communication,All employees and contractors,Quarterly risk assessments,Minimum 12-character passwords,IT Security Team for access control,Access revocation for violations,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-113,Acceptable resource use,All information incidents,Quarterly risk assessments,Minimum 12-character passwords,Admins for updates,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-114,Asset protection,All employees and contractors,Quarterly risk assessments,Minimum 12-character passwords,Management for risk assessments,Access revocation for violations,Document all incidents,2024-09-24,2024-09-24,Active
POL-115,Risk assessment framework,All information incidents,Regular updates and patches,Minimum 12-character passwords,Employees for password compliance,Access revocation for violations,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-116,Asset protection,All network devices,Quarterly risk assessments,Apply updates weekly,Admins for updates,Access revocation for violations,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-117,Define information boundaries,All network devices,Incident reporting protocol,Document risk findings quarterly,IT Security Team for access control,Access revocation for violations,Document all incidents,2024-09-24,2024-09-24,Active
POL-118,Acceptable resource use,All information incidents,Regular updates and patches,Document risk findings quarterly,Admins for updates,Damage control for delays,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-119,Define information boundaries,All network devices,Regular updates and patches,Document access requests,IT Security Team for access control,Unmitigated risks,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-120,Asset protection,All network devices,Access control implementation,Minimum 12-character passwords,Response Team for incidents,Access revocation for violations,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-121,Risk assessment framework,All business units,Regular updates and patches,Minimum 12-character passwords,Management for risk assessments,Damage control for delays,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-122,Define information boundaries,All employees and contractors,Regular updates and patches,Document risk findings quarterly,Management for risk assessments,Access revocation for violations,Document all incidents,2024-09-24,2024-09-24,Active
POL-123,Define information boundaries,All business units,Quarterly risk assessments,Document risk findings quarterly,Admins for updates,Security breach penalties,Document all incidents,2024-09-24,2024-09-24,Active
POL-124,Acceptable resource use,All information incidents,Regular updates and patches,Report incidents in 24 hours,Employees for password compliance,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-125,Asset protection,All systems and data,Password complexity rules,Minimum 12-character passwords,IT Security Team for access control,Damage control for delays,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-126,Asset protection,All information incidents,Regular updates and patches,Report incidents in 24 hours,Employees for password compliance,Disciplinary actions,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-127,Define information boundaries,All information incidents,Incident reporting protocol,Report incidents in 24 hours,IT Security Team for access control,Access revocation for violations,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-128,Incident communication,All systems and data,Quarterly risk assessments,Minimum 12-character passwords,IT Security Team for access control,Disciplinary actions,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-129,Incident communication,All network devices,Incident reporting protocol,Apply updates weekly,Admins for updates,Unmitigated risks,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-130,Acceptable resource use,All business units,Access control implementation,Document risk findings quarterly,Response Team for incidents,Disciplinary actions,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-131,Define information boundaries,All employees and contractors,Access control implementation,Document risk findings quarterly,Management for risk assessments,Security breach penalties,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-132,Define information boundaries,All employees and contractors,Incident reporting protocol,Document access requests,Response Team for incidents,Security breach penalties,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-133,Risk assessment framework,All systems and data,Access control implementation,Report incidents in 24 hours,IT Security Team for access control,Security breach penalties,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-134,Define information boundaries,All business units,Password complexity rules,Apply updates weekly,IT Security Team for access control,Access revocation for violations,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-135,Define information boundaries,All systems and data,Regular updates and patches,Document risk findings quarterly,Admins for updates,Disciplinary actions,Immediate access revocation,2024-09-24,2024-09-24,Active
POL-136,Incident communication,All employees and contractors,Access control implementation,Apply updates weekly,Management for risk assessments,Disciplinary actions,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-137,Acceptable resource use,All systems and data,Quarterly risk assessments,Report incidents in 24 hours,IT Security Team for access control,Access revocation for violations,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-138,Define information boundaries,All business units,Access control implementation,Document access requests,Employees for password compliance,Security breach penalties,Notify affected parties,2024-09-24,2024-09-24,Active
POL-139,Asset protection,All systems and data,Quarterly risk assessments,Minimum 12-character passwords,Response Team for incidents,Access revocation for violations,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-140,Asset protection,All network devices,Password complexity rules,Document access requests,Response Team for incidents,Unmitigated risks,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-141,Define information boundaries,All information incidents,Regular updates and patches,Apply updates weekly,Admins for updates,Damage control for delays,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-142,Acceptable resource use,All employees and contractors,Access control implementation,Minimum 12-character passwords,Employees for password compliance,Unmitigated risks,Document all incidents,2024-09-24,2024-09-24,Active
POL-143,Acceptable resource use,All information incidents,Quarterly risk assessments,Document access requests,Response Team for incidents,Unmitigated risks,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-144,Acceptable resource use,All business units,Access control implementation,Minimum 12-character passwords,IT Security Team for access control,Access revocation for violations,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-145,Define information boundaries,All network devices,Access control implementation,Report incidents in 24 hours,IT Security Team for access control,Access revocation for violations,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-146,Incident communication,All network devices,Regular updates and patches,Minimum 12-character passwords,Employees for password compliance,Disciplinary actions,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-147,Define information boundaries,All employees and contractors,Quarterly risk assessments,Document risk findings quarterly,Employees for password compliance,Security breach penalties,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-148,Asset protection,All network devices,Incident reporting protocol,Document risk findings quarterly,Management for risk assessments,Disciplinary actions,Notify affected parties,2024-09-24,2024-09-24,Active
POL-149,Risk assessment framework,All systems and data,Regular updates and patches,Apply updates weekly,Admins for updates,Security breach penalties,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-150,Asset protection,All systems and data,Regular updates and patches,Minimum 12-character passwords,Response Team for incidents,Disciplinary actions,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-151,Incident communication,All network devices,Quarterly risk assessments,Document risk findings quarterly,Management for risk assessments,Disciplinary actions,Document all incidents,2024-09-24,2024-09-24,Active
POL-152,Risk assessment framework,All systems and data,Access control implementation,Minimum 12-character passwords,Admins for updates,Access revocation for violations,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-153,Asset protection,All employees and contractors,Quarterly risk assessments,Document risk findings quarterly,IT Security Team for access control,Unmitigated risks,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-154,Acceptable resource use,All information incidents,Password complexity rules,Report incidents in 24 hours,IT Security Team for access control,Damage control for delays,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-155,Define information boundaries,All information incidents,Password complexity rules,Report incidents in 24 hours,Response Team for incidents,Access revocation for violations,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-156,Define information boundaries,All network devices,Incident reporting protocol,Document access requests,Employees for password compliance,Unmitigated risks,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-157,Acceptable resource use,All business units,Quarterly risk assessments,Document risk findings quarterly,IT Security Team for access control,Access revocation for violations,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-158,Acceptable resource use,All employees and contractors,Regular updates and patches,Report incidents in 24 hours,IT Security Team for access control,Security breach penalties,Post-incident analysis,2024-09-24,2024-09-24,Active
POL-159,Acceptable resource use,All network devices,Regular updates and patches,Apply updates weekly,Response Team for incidents,Damage control for delays,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-160,Acceptable resource use,All information incidents,Incident reporting protocol,Document risk findings quarterly,Admins for updates,Unmitigated risks,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-161,Risk assessment framework,All business units,Regular updates and patches,Document risk findings quarterly,Response Team for incidents,Damage control for delays,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-162,Incident communication,All business units,Quarterly risk assessments,Minimum 12-character passwords,Employees for password compliance,Unmitigated risks,Immediate access revocation,2024-09-24,2024-09-24,Inactive
POL-163,Define information boundaries,All network devices,Access control implementation,Document risk findings quarterly,Admins for updates,Security breach penalties,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-164,Asset protection,All employees and contractors,Quarterly risk assessments,Apply updates weekly,Admins for updates,Unmitigated risks,Document all incidents,2024-09-24,2024-09-24,Inactive
POL-165,Asset protection,All employees and contractors,Access control implementation,Document access requests,Employees for password compliance,Disciplinary actions,Regular plan reviews,2024-09-24,2024-09-24,Inactive
POL-166,Risk assessment framework,All employees and contractors,Password complexity rules,Apply updates weekly,Management for risk assessments,Damage control for delays,Regular plan reviews,2024-09-24,2024-09-24,Active
POL-167,Acceptable resource use,All network devices,Quarterly risk assessments,Document risk findings quarterly,Employees for password compliance,Access revocation for violations,Notify affected parties,2024-09-24,2024-09-24,Inactive
POL-168,Asset protection,All employees and contractors,Password complexity rules,Minimum 12-character passwords,Employees for password compliance,Unmitigated risks,Post-incident analysis,2024-09-24,2024-09-24,Inactive
POL-169,Acceptable resource use,All network devices,Access control implementation,Apply updates weekly,IT Security Team for access control,Unmitigated risks,Post-incident analysis,2024-09-24,2024-09-24,Active
